objective,deploy,return,station_keep,next_loiter_point,obstacle_name,obstacle_proximity,contact_range,contact_resolved,collision_avoidance_mode,speed,heading,loiter_point_direction,new_loiter_area,obstacle_direction,contact_name,name,ivphelm_bhv_active,what_if,predicted_behaviour,why_not,feature_justification,Representation,Instruction,User Query,Explanation
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,FALSE,FALSE,point0,obstacle_2,none,nearby,FALSE,none,fast,southwest,southwest,FALSE,southwest,henry,gilda,loiter,none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,FALSE,FALSE,point0,obstacle_2,far,nearby,FALSE,none,fast,southwest,southwest,FALSE,southwest,henry,gilda,loiter,none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,FALSE,FALSE,point0,obstacle_2,far,nearby,FALSE,none,fast,southwest,southwest,FALSE,southwest,henry,gilda,"loiter,avd_obstacles_avd_obstacles_ob_2",none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,FALSE,FALSE,point0,obstacle_2,nearby,nearby,FALSE,none,fast,southwest,southwest,FALSE,southwest,henry,gilda,"loiter,avd_obstacles_avd_obstacles_ob_2",none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,FALSE,FALSE,point0,obstacle_2,nearby,close,FALSE,none,fast,southwest,southwest,FALSE,southwest,henry,gilda,"loiter,avd_obstacles_avd_obstacles_ob_2",none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,FALSE,FALSE,point0,obstacle_2,nearby,close,FALSE,none,fast,northwest,southwest,FALSE,southwest,henry,gilda,"loiter,avd_obstacles_avd_obstacles_ob_2",none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,FALSE,FALSE,point0,obstacle_2,close,close,FALSE,none,fast,northwest,southwest,FALSE,southwest,henry,gilda,"loiter,avd_obstacles_avd_obstacles_ob_2",none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,FALSE,FALSE,point0,obstacle_2,close,close,FALSE,none,fast,southwest,southwest,FALSE,southwest,henry,gilda,"loiter,avd_obstacles_avd_obstacles_ob_2",none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,FALSE,FALSE,point0,obstacle_2,nearby,close,FALSE,none,fast,southwest,southwest,FALSE,southwest,henry,gilda,loiter,none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,FALSE,FALSE,point0,obstacle_2,far,close,FALSE,none,fast,southwest,southwest,FALSE,southwest,henry,gilda,loiter,none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,FALSE,FALSE,point0,obstacle_2,very far,nearby,FALSE,none,fast,southwest,southwest,FALSE,southwest,henry,gilda,loiter,none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,FALSE,FALSE,point0,obstacle_2,very far,far,FALSE,none,fast,southwest,southwest,FALSE,southwest,henry,gilda,loiter,none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,FALSE,FALSE,point1,obstacle_2,very far,far,FALSE,none,fast,southwest,southwest,FALSE,southwest,henry,gilda,loiter,none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,FALSE,FALSE,point1,obstacle_2,very far,very far,FALSE,none,fast,southwest,southwest,FALSE,southwest,henry,gilda,loiter,none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,FALSE,FALSE,point2,obstacle_2,very far,very far,FALSE,none,fast,southwest,southwest,FALSE,southwest,henry,gilda,loiter,none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,FALSE,FALSE,point3,obstacle_2,very far,very far,FALSE,none,fast,southwest,southeast,FALSE,southwest,henry,gilda,loiter,none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,FALSE,FALSE,point3,obstacle_2,very far,very far,FALSE,none,fast,southeast,southeast,FALSE,southwest,henry,gilda,loiter,none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,FALSE,FALSE,point4,obstacle_2,very far,very far,FALSE,none,fast,southeast,southeast,FALSE,southwest,henry,gilda,loiter,none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,FALSE,TRUE,point4,obstacle_2,very far,very far,FALSE,none,fast,southeast,southeast,FALSE,southwest,henry,gilda,loiter,none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,FALSE,TRUE,none,obstacle_2,very far,very far,FALSE,none,fast,southeast,none,FALSE,southwest,henry,gilda,station-keep,none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,FALSE,TRUE,none,obstacle_2,very far,very far,FALSE,none,moderate,southeast,none,FALSE,southwest,henry,gilda,station-keep,none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,FALSE,TRUE,none,obstacle_2,very far,very far,FALSE,none,moderate,southeast,none,TRUE,southwest,henry,gilda,station-keep,none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,FALSE,TRUE,none,obstacle_2,very far,very far,FALSE,none,low,southeast,none,FALSE,southwest,henry,gilda,station-keep,none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,FALSE,TRUE,none,obstacle_2,very far,very far,FALSE,none,idle,southeast,none,FALSE,southwest,henry,gilda,station-keep,none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,TRUE,TRUE,none,obstacle_2,very far,very far,FALSE,none,idle,southeast,none,FALSE,southwest,henry,gilda,station-keep,none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,TRUE,FALSE,none,obstacle_2,very far,very far,FALSE,none,idle,southeast,none,FALSE,southwest,henry,gilda,station-keep,none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,TRUE,FALSE,none,obstacle_2,very far,very far,FALSE,none,idle,southeast,none,FALSE,southwest,henry,gilda,waypt_return,none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,TRUE,FALSE,none,obstacle_2,very far,very far,FALSE,none,moderate,southeast,none,FALSE,southwest,henry,gilda,waypt_return,none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,TRUE,FALSE,none,obstacle_2,very far,very far,FALSE,none,fast,southeast,none,FALSE,southwest,henry,gilda,waypt_return,none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,TRUE,FALSE,none,obstacle_2,very far,far,FALSE,none,fast,southeast,none,FALSE,southwest,henry,gilda,waypt_return,none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,TRUE,FALSE,none,obstacle_2,very far,nearby,FALSE,none,fast,southeast,none,FALSE,southwest,henry,gilda,waypt_return,none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,TRUE,FALSE,none,obstacle_0,very far,nearby,FALSE,none,fast,southeast,none,FALSE,northeast,henry,gilda,waypt_return,none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,TRUE,FALSE,none,obstacle_0,far,nearby,FALSE,none,fast,southeast,none,FALSE,northeast,henry,gilda,waypt_return,none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,TRUE,FALSE,none,obstacle_0,far,nearby,FALSE,none,fast,southeast,none,FALSE,northeast,henry,gilda,"waypt_return,avd_obstacles_avd_obstacles_ob_0",none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,TRUE,FALSE,none,obstacle_0,far,far,FALSE,none,fast,southeast,none,FALSE,northeast,henry,gilda,"waypt_return,avd_obstacles_avd_obstacles_ob_0",none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,TRUE,FALSE,none,obstacle_0,nearby,far,FALSE,none,fast,southeast,none,FALSE,northeast,henry,gilda,"waypt_return,avd_obstacles_avd_obstacles_ob_0",none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,TRUE,FALSE,none,obstacle_0,far,far,FALSE,none,fast,southeast,none,FALSE,northeast,henry,gilda,waypt_return,none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,TRUE,FALSE,none,obstacle_0,very far,far,FALSE,none,fast,southeast,none,FALSE,northeast,henry,gilda,waypt_return,none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,TRUE,FALSE,none,obstacle_0,very far,far,FALSE,none,fast,southeast,none,TRUE,northeast,henry,gilda,waypt_return,none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,TRUE,TRUE,none,obstacle_0,very far,far,FALSE,none,fast,southeast,none,FALSE,northeast,henry,gilda,waypt_return,none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,TRUE,TRUE,none,obstacle_0,very far,far,FALSE,none,fast,southeast,none,FALSE,northeast,henry,gilda,none,none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,TRUE,TRUE,none,obstacle_0,very far,far,FALSE,none,fast,southeast,none,FALSE,northeast,henry,gilda,station-keep,none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,TRUE,TRUE,none,obstacle_0,very far,far,FALSE,none,moderate,southeast,none,FALSE,northeast,henry,gilda,station-keep,none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,TRUE,TRUE,none,obstacle_0,very far,far,FALSE,none,low,southeast,none,FALSE,northeast,henry,gilda,station-keep,none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,TRUE,TRUE,none,obstacle_0,very far,far,FALSE,none,idle,southeast,none,FALSE,northeast,henry,gilda,station-keep,none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,TRUE,TRUE,none,obstacle_0,very far,far,FALSE,none,idle,southeast,none,TRUE,northeast,henry,gilda,station-keep,none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,FALSE,FALSE,point7,none,none,far,FALSE,none,idle,north,northwest,FALSE,none,henry,gilda,none,none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,FALSE,FALSE,point7,none,none,far,FALSE,none,idle,north,northwest,FALSE,none,henry,gilda,loiter,none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,FALSE,FALSE,point7,none,none,far,FALSE,none,low,northwest,northwest,FALSE,none,henry,gilda,loiter,none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,FALSE,FALSE,point7,none,none,far,FALSE,none,fast,northwest,northwest,FALSE,none,henry,gilda,loiter,none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,FALSE,FALSE,point7,obstacle_0,none,far,FALSE,none,fast,northwest,northwest,FALSE,northwest,henry,gilda,loiter,none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,FALSE,FALSE,point7,obstacle_0,far,far,FALSE,none,fast,northwest,northwest,FALSE,northwest,henry,gilda,loiter,none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,FALSE,FALSE,point7,obstacle_0,far,far,FALSE,none,fast,northwest,northwest,FALSE,northwest,henry,gilda,"loiter,avd_obstacles_avd_obstacles_ob_0",none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,FALSE,FALSE,point7,obstacle_0,far,far,FALSE,none,fast,southwest,northwest,FALSE,northwest,henry,gilda,"loiter,avd_obstacles_avd_obstacles_ob_0",none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,FALSE,FALSE,point7,obstacle_0,nearby,far,FALSE,none,fast,southwest,northwest,FALSE,northwest,henry,gilda,"loiter,avd_obstacles_avd_obstacles_ob_0",none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,FALSE,FALSE,point7,obstacle_0,close,far,FALSE,none,fast,southwest,northwest,FALSE,northwest,henry,gilda,"loiter,avd_obstacles_avd_obstacles_ob_0",none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,FALSE,FALSE,point7,obstacle_0,close,nearby,FALSE,none,fast,southwest,northwest,FALSE,northwest,henry,gilda,"loiter,avd_obstacles_avd_obstacles_ob_0",none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,FALSE,FALSE,point7,obstacle_0,close,nearby,FALSE,none,fast,northwest,northwest,FALSE,northwest,henry,gilda,"loiter,avd_obstacles_avd_obstacles_ob_0",none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,FALSE,FALSE,point7,obstacle_0,nearby,nearby,FALSE,none,fast,northwest,northwest,FALSE,northwest,henry,gilda,"loiter,avd_obstacles_avd_obstacles_ob_0",none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,FALSE,FALSE,point7,obstacle_0,far,nearby,FALSE,none,fast,northwest,northwest,FALSE,northwest,henry,gilda,"loiter,avd_obstacles_avd_obstacles_ob_0",none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,FALSE,FALSE,point7,obstacle_0,far,nearby,FALSE,none,fast,northwest,northwest,FALSE,northwest,henry,gilda,loiter,none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,FALSE,FALSE,point7,obstacle_0,very far,nearby,FALSE,none,fast,northwest,northwest,FALSE,northwest,henry,gilda,loiter,none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,FALSE,FALSE,point7,obstacle_0,very far,close,FALSE,none,fast,northwest,northwest,FALSE,northwest,henry,gilda,loiter,none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,FALSE,FALSE,point7,obstacle_0,very far,far,FALSE,none,fast,northwest,northwest,FALSE,northwest,henry,gilda,loiter,none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,FALSE,FALSE,point0,obstacle_0,very far,far,FALSE,none,fast,northwest,northwest,FALSE,northwest,henry,gilda,loiter,none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,FALSE,FALSE,point1,obstacle_0,very far,far,FALSE,none,fast,northwest,southwest,FALSE,northwest,henry,gilda,loiter,none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,FALSE,FALSE,point1,obstacle_0,very far,far,FALSE,none,fast,southwest,southwest,FALSE,northwest,henry,gilda,loiter,none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,FALSE,FALSE,point2,obstacle_0,very far,far,FALSE,none,fast,southwest,southwest,FALSE,northwest,henry,gilda,loiter,none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,FALSE,FALSE,point3,obstacle_0,very far,far,FALSE,none,fast,southwest,southeast,FALSE,northwest,henry,gilda,loiter,none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,FALSE,FALSE,point3,obstacle_0,very far,far,FALSE,none,fast,southeast,southeast,FALSE,northwest,henry,gilda,loiter,none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,FALSE,FALSE,point3,obstacle_0,very far,very far,FALSE,none,fast,southeast,southeast,FALSE,northwest,henry,gilda,loiter,none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,FALSE,FALSE,point4,obstacle_0,very far,very far,FALSE,none,fast,southeast,southeast,FALSE,northwest,henry,gilda,loiter,none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,FALSE,FALSE,point4,obstacle_0,very far,very far,FALSE,none,fast,southeast,southeast,TRUE,northwest,henry,gilda,loiter,none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,FALSE,FALSE,point4,obstacle_0,very far,far,FALSE,none,fast,southeast,southeast,FALSE,northwest,henry,gilda,loiter,none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,FALSE,FALSE,point4,obstacle_0,very far,far,FALSE,none,fast,northeast,southeast,FALSE,northwest,henry,gilda,loiter,none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,FALSE,FALSE,point4,obstacle_0,very far,nearby,FALSE,none,fast,northeast,southeast,FALSE,northwest,henry,gilda,loiter,none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,FALSE,FALSE,point4,obstacle_0,very far,close,FALSE,none,fast,northeast,southeast,FALSE,northwest,henry,gilda,loiter,none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,FALSE,FALSE,point4,obstacle_0,very far,close,FALSE,none,fast,northeast,southeast,FALSE,northeast,henry,gilda,loiter,none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,FALSE,FALSE,point4,obstacle_0,far,close,FALSE,none,fast,northeast,southeast,FALSE,northeast,henry,gilda,loiter,none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,FALSE,FALSE,point4,obstacle_0,far,close,FALSE,none,fast,northeast,southeast,FALSE,northeast,henry,gilda,"loiter,avd_obstacles_avd_obstacles_ob_0",none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,FALSE,FALSE,point4,obstacle_0,nearby,close,FALSE,none,fast,northeast,southeast,FALSE,northeast,henry,gilda,"loiter,avd_obstacles_avd_obstacles_ob_0",none,none,none,none,,,,
