objective,deploy,return,obstacle_name,obstacle_proximity,obstacle_resolved,behaviour_stage,next_point,speed,heading,next_point_direction,obstacle_direction,name,ivphelm_bhv_active,representation,user_query,explanation,behaviour_permutation
"Go to points 0, 1, 2 and then return to starting position.",True,False,none,none,False,advanced,point1,max speed,southeast,southeast,none,alpha,waypt_survey,"{'objective': 'Go to points 0, 1, 2 and then return to starting position.', 'deploy': 'True', 'return': 'False', 'obstacle_name': 'none', 'obstacle_proximity': 'none', 'obstacle_resolved': 'False', 'behaviour_stage': 'advanced', 'next_point': 'point1', 'speed': 'max speed', 'heading': 'southeast', 'next_point_direction': 'southeast', 'obstacle_direction': 'none', 'name': 'alpha', 'active_behaviour': 'waypt_survey'}",Why is alpha surveying an area instead of returning to its starting point?,"Alpha is currently deployed to perform its objective, specifically moving towards point 1 with a southeast heading and at maximum speed. To return to its starting point, it should first finish its objective or receive a command from C2.","Original: Waypt_survey, Modified: Waypt_return"
"Go to points 0, 1, 2 and then return to starting position.",True,False,none,none,False,in-transit,point1,max speed,southeast,southeast,none,alpha,waypt_survey,"{'objective': 'Go to points 0, 1, 2 and then return to starting position.', 'deploy': 'True', 'return': 'False', 'obstacle_name': 'none', 'obstacle_proximity': 'none', 'obstacle_resolved': 'False', 'behaviour_stage': 'in-transit', 'next_point': 'point1', 'speed': 'max speed', 'heading': 'southeast', 'next_point_direction': 'southeast', 'obstacle_direction': 'none', 'name': 'alpha', 'active_behaviour': 'waypt_survey'}",Why is alpha surveying an area instead of returning to its starting point?,"Alpha is currently deployed to perform its objective, specifically moving towards point 1 with a southeast heading and at maximum speed. To return to its starting point, it should first finish its objective or receive a command from C2.","Original: Waypt_survey, Modified: Waypt_return"
"Go to points 0, 1, 2 and then return to starting position.",True,False,none,none,False,in-transit,point1,very fast,southeast,southeast,none,alpha,waypt_survey,"{'objective': 'Go to points 0, 1, 2 and then return to starting position.', 'deploy': 'True', 'return': 'False', 'obstacle_name': 'none', 'obstacle_proximity': 'none', 'obstacle_resolved': 'False', 'behaviour_stage': 'in-transit', 'next_point': 'point1', 'speed': 'very fast', 'heading': 'southeast', 'next_point_direction': 'southeast', 'obstacle_direction': 'none', 'name': 'alpha', 'active_behaviour': 'waypt_survey'}",Why is alpha surveying an area instead of returning to its starting point?,"Alpha is currently deployed to perform its objective, which is to go to points 0, 1, and 2. It is currently heading towards point 1 with a southeast direction and at a very fast speed. Since it has not yet reached its final point, it is still in the process of completing its objective and has not received a command from C2 to return to its starting point.","Original: Waypt_survey, Modified: Waypt_return"
"Go to points 0, 1, 2 and then return to starting position.",True,False,none,none,False,advanced,point2,max speed,southeast,northwest,none,alpha,waypt_survey,"{'objective': 'Go to points 0, 1, 2 and then return to starting position.', 'deploy': 'True', 'return': 'False', 'obstacle_name': 'none', 'obstacle_proximity': 'none', 'obstacle_resolved': 'False', 'behaviour_stage': 'advanced', 'next_point': 'point2', 'speed': 'max speed', 'heading': 'southeast', 'next_point_direction': 'northwest', 'obstacle_direction': 'none', 'name': 'alpha', 'active_behaviour': 'waypt_survey'}",Why is alpha surveying an area instead of returning to its starting point?,"Alpha is currently deployed to perform its objective, specifically moving towards point 2 with a southeast heading and at maximum speed. To return to its starting point, it should first finish its objective or receive a command from C2.","Original: Waypt_survey, Modified: Waypt_return"
"Go to points 0, 1, 2 and then return to starting position.",True,False,none,none,False,in-transit,point2,max speed,southeast,northwest,none,alpha,waypt_survey,"{'objective': 'Go to points 0, 1, 2 and then return to starting position.', 'deploy': 'True', 'return': 'False', 'obstacle_name': 'none', 'obstacle_proximity': 'none', 'obstacle_resolved': 'False', 'behaviour_stage': 'in-transit', 'next_point': 'point2', 'speed': 'max speed', 'heading': 'southeast', 'next_point_direction': 'northwest', 'obstacle_direction': 'none', 'name': 'alpha', 'active_behaviour': 'waypt_survey'}",Why is alpha surveying an area instead of returning to its starting point?,"Alpha is currently deployed to perform its objective, which is to go to points 0, 1, and 2. It is currently on its way to point 2 with a southeast heading and at maximum speed. To return to its starting point, it should first finish visiting all the points in its objective or receive a command from C2.","Original: Waypt_survey, Modified: Waypt_return"
"Go to points 0, 1, 2 and then return to starting position.",True,False,none,none,False,in-transit,point2,very fast,southeast,northwest,none,alpha,waypt_survey,"{'objective': 'Go to points 0, 1, 2 and then return to starting position.', 'deploy': 'True', 'return': 'False', 'obstacle_name': 'none', 'obstacle_proximity': 'none', 'obstacle_resolved': 'False', 'behaviour_stage': 'in-transit', 'next_point': 'point2', 'speed': 'very fast', 'heading': 'southeast', 'next_point_direction': 'northwest', 'obstacle_direction': 'none', 'name': 'alpha', 'active_behaviour': 'waypt_survey'}",Why is alpha surveying an area instead of returning to its starting point?,"Alpha is currently deployed and its objective is to go to points 0, 1, 2. It is currently heading towards point 2 with a southeast direction and at a very fast speed. To return to its starting point, it should first finish its objective or receive a command from C2.","Original: Waypt_survey, Modified: Waypt_return"
"Go to points 0, 1, 2 and then return to starting position.",True,False,none,none,False,in-transit,point2,very fast,northeast,northwest,none,alpha,waypt_survey,"{'objective': 'Go to points 0, 1, 2 and then return to starting position.', 'deploy': 'True', 'return': 'False', 'obstacle_name': 'none', 'obstacle_proximity': 'none', 'obstacle_resolved': 'False', 'behaviour_stage': 'in-transit', 'next_point': 'point2', 'speed': 'very fast', 'heading': 'northeast', 'next_point_direction': 'northwest', 'obstacle_direction': 'none', 'name': 'alpha', 'active_behaviour': 'waypt_survey'}",Why is alpha surveying an area instead of returning to its starting point?,"Alpha is currently deployed to perform its objective, specifically moving towards point 2 with a northwest heading and at a very fast speed. To return to its starting point, it should first finish its objective or receive a command from C2.","Original: Waypt_survey, Modified: Waypt_return"
"Go to points 0, 1, 2 and then return to starting position.",True,False,none,none,False,in-transit,point2,very fast,northwest,northwest,none,alpha,waypt_survey,"{'objective': 'Go to points 0, 1, 2 and then return to starting position.', 'deploy': 'True', 'return': 'False', 'obstacle_name': 'none', 'obstacle_proximity': 'none', 'obstacle_resolved': 'False', 'behaviour_stage': 'in-transit', 'next_point': 'point2', 'speed': 'very fast', 'heading': 'northwest', 'next_point_direction': 'northwest', 'obstacle_direction': 'none', 'name': 'alpha', 'active_behaviour': 'waypt_survey'}",Why is alpha surveying an area instead of returning to its starting point?,"Alpha is currently deployed to perform its objective, specifically moving towards point 2 with a northwest heading and at a very fast speed. To return to its starting point, it should first finish its objective or receive a command from C2.","Original: Waypt_survey, Modified: Waypt_return"
"Go to points 0, 1, 2 and then return to starting position.",True,False,obstacle_a,none,False,in-transit,point2,very fast,northwest,northwest,northwest,alpha,waypt_survey,"{'objective': 'Go to points 0, 1, 2 and then return to starting position.', 'deploy': 'True', 'return': 'False', 'obstacle_name': 'obstacle_a', 'obstacle_proximity': 'none', 'obstacle_resolved': 'False', 'behaviour_stage': 'in-transit', 'next_point': 'point2', 'speed': 'very fast', 'heading': 'northwest', 'next_point_direction': 'northwest', 'obstacle_direction': 'northwest', 'name': 'alpha', 'active_behaviour': 'waypt_survey'}",Why is alpha surveying an area instead of avoiding obstacle_a?,"Alpha is currently deployed to perform its objective, which is to go to point 2 with a northwest heading and at a very fast speed. However, there is an obstacle named obstacle_a in its path that has not been resolved yet. The vehicle should prioritize avoiding the obstacle instead of continuing with its surveying behavior.","Original: Waypt_survey, Modified: Waypt_survey,avoid_obstacle_avoid_obstacle_a"
"Go to points 0, 1, 2 and then return to starting position.",True,False,obstacle_a,nearby,False,in-transit,point2,very fast,northwest,northwest,northwest,alpha,waypt_survey,"{'objective': 'Go to points 0, 1, 2 and then return to starting position.', 'deploy': 'True', 'return': 'False', 'obstacle_name': 'obstacle_a', 'obstacle_proximity': 'nearby', 'obstacle_resolved': 'False', 'behaviour_stage': 'in-transit', 'next_point': 'point2', 'speed': 'very fast', 'heading': 'northwest', 'next_point_direction': 'northwest', 'obstacle_direction': 'northwest', 'name': 'alpha', 'active_behaviour': 'waypt_survey'}",Why is alpha surveying an area instead of returning to its starting point despite the nearby obstacle named obstacle_a?,"Alpha is currently surveying the area because it is deployed and has not yet reached its objective of going to point 2. Additionally, there is an obstacle named obstacle_a nearby. The vehicle is programmed to continue surveying while avoiding obstacles until it completes its objective or receives a command from C2.","Original: Waypt_survey,avoid_obstacle_avoid_obstacle_a, Modified: Waypt_return"
"Go to points 0, 1, 2 and then return to starting position.",True,False,obstacle_a,nearby,False,in-transit,point2,very fast,northwest,northwest,northwest,alpha,"waypt_survey,avoid_obstacle_avoid_obstacle_a","{'objective': 'Go to points 0, 1, 2 and then return to starting position.', 'deploy': 'True', 'return': 'False', 'obstacle_name': 'obstacle_a', 'obstacle_proximity': 'nearby', 'obstacle_resolved': 'False', 'behaviour_stage': 'in-transit', 'next_point': 'point2', 'speed': 'very fast', 'heading': 'northwest', 'next_point_direction': 'northwest', 'obstacle_direction': 'northwest', 'name': 'alpha', 'active_behaviour': 'waypt_survey,avoid_obstacle_avoid_obstacle_a'}",Why is alpha surveying an area with a modified trajectory while avoiding obstacle a instead of returning to its starting position?,"Alpha is currently in the process of surveying an area and has encountered obstacle A. Since the obstacle proximity is nearby, Alpha has decided to modify its trajectory and avoid obstacle A while continuing its survey. Returning to the starting position would not be possible without resolving the obstacle.","Original: 'Waypt_survey,avoid_obstacle_avoid_obstacle_a', Modified: 'Waypt_return'"
"Go to points 0, 1, 2 and then return to starting position.",True,False,obstacle_a,close,False,in-transit,point2,very fast,northwest,northwest,northwest,alpha,"waypt_survey,avoid_obstacle_avoid_obstacle_a","{'objective': 'Go to points 0, 1, 2 and then return to starting position.', 'deploy': 'True', 'return': 'False', 'obstacle_name': 'obstacle_a', 'obstacle_proximity': 'close', 'obstacle_resolved': 'False', 'behaviour_stage': 'in-transit', 'next_point': 'point2', 'speed': 'very fast', 'heading': 'northwest', 'next_point_direction': 'northwest', 'obstacle_direction': 'northwest', 'name': 'alpha', 'active_behaviour': 'waypt_survey,avoid_obstacle_avoid_obstacle_a'}",Why is alpha surveying an area with a modified trajectory while avoiding obstacle a instead of returning to the starting position?,"Alpha is currently on its way to point 2 as part of its surveying task. However, it has encountered obstacle A, which is in close proximity. Instead of returning to the starting position, Alpha has been programmed to avoid the obstacle and continue its surveying task with a modified trajectory, moving northwest at a very fast speed.","Original: 'Waypt_survey,avoid_obstacle_avoid_obstacle_a', Modified: 'Waypt_return'"
"Go to points 0, 1, 2 and then return to starting position.",True,False,obstacle_a,very close,False,in-transit,point2,very fast,northwest,northwest,northwest,alpha,"waypt_survey,avoid_obstacle_avoid_obstacle_a","{'objective': 'Go to points 0, 1, 2 and then return to starting position.', 'deploy': 'True', 'return': 'False', 'obstacle_name': 'obstacle_a', 'obstacle_proximity': 'very close', 'obstacle_resolved': 'False', 'behaviour_stage': 'in-transit', 'next_point': 'point2', 'speed': 'very fast', 'heading': 'northwest', 'next_point_direction': 'northwest', 'obstacle_direction': 'northwest', 'name': 'alpha', 'active_behaviour': 'waypt_survey,avoid_obstacle_avoid_obstacle_a'}",Why is alpha surveying an area with a modified trajectory while avoiding obstacle a instead of returning to its starting position?,"Alpha is currently surveying an area and encountering obstacle A. Instead of completing its survey and returning to its starting position, it chooses to modify its trajectory while avoiding obstacle A. This behavior ensures that Alpha can continue its surveying task while safely navigating around the obstacle.","Original: 'Waypt_survey,avoid_obstacle_avoid_obstacle_a', Modified: 'Waypt_return'"
"Go to points 0, 1, 2 and then return to starting position.",True,False,obstacle_a,very close,False,in-transit,point2,very fast,northwest,northwest,northeast,alpha,"waypt_survey,avoid_obstacle_avoid_obstacle_a","{'objective': 'Go to points 0, 1, 2 and then return to starting position.', 'deploy': 'True', 'return': 'False', 'obstacle_name': 'obstacle_a', 'obstacle_proximity': 'very close', 'obstacle_resolved': 'False', 'behaviour_stage': 'in-transit', 'next_point': 'point2', 'speed': 'very fast', 'heading': 'northwest', 'next_point_direction': 'northwest', 'obstacle_direction': 'northeast', 'name': 'alpha', 'active_behaviour': 'waypt_survey,avoid_obstacle_avoid_obstacle_a'}",Why is alpha surveying an area with a modified trajectory while avoiding obstacle a with a northeast heading instead of staying idle?,Once Alpha spots an obstacle during its survey it has the capacity to avoid the obstacle by moving around it while executing its task. It currently avoids obstacle A with a northeast heading and moving very fast. The only reason for the vessel to stay idle would be to no longer be deployed.,"Original: 'Waypt_survey,avoid_obstacle_avoid_obstacle_a', Modified: 'None'"
"Go to points 0, 1, 2 and then return to starting position.",True,False,obstacle_a,very close,False,in-transit,point2,fast,northwest,northwest,northeast,alpha,"waypt_survey,avoid_obstacle_avoid_obstacle_a","{'objective': 'Go to points 0, 1, 2 and then return to starting position.', 'deploy': 'True', 'return': 'False', 'obstacle_name': 'obstacle_a', 'obstacle_proximity': 'very close', 'obstacle_resolved': 'False', 'behaviour_stage': 'in-transit', 'next_point': 'point2', 'speed': 'fast', 'heading': 'northwest', 'next_point_direction': 'northwest', 'obstacle_direction': 'northeast', 'name': 'alpha', 'active_behaviour': 'waypt_survey,avoid_obstacle_avoid_obstacle_a'}",Why is alpha surveying an area with a modified trajectory while avoiding obstacle a instead of returning to its starting position?,"Currently, Alpha is surveying the area and has encountered obstacle A which is very close. Instead of returning to its starting position, Alpha chooses to modify its trajectory and avoid obstacle A while continuing its survey. ","Original: 'Waypt_survey,avoid_obstacle_avoid_obstacle_a', Modified: 'Waypt_return'"
"Go to points 0, 1, 2 and then return to starting position.",True,False,obstacle_a,very close,False,in-transit,point2,very fast,northeast,northwest,northeast,alpha,"waypt_survey,avoid_obstacle_avoid_obstacle_a","{'objective': 'Go to points 0, 1, 2 and then return to starting position.', 'deploy': 'True', 'return': 'False', 'obstacle_name': 'obstacle_a', 'obstacle_proximity': 'very close', 'obstacle_resolved': 'False', 'behaviour_stage': 'in-transit', 'next_point': 'point2', 'speed': 'very fast', 'heading': 'northeast', 'next_point_direction': 'northwest', 'obstacle_direction': 'northeast', 'name': 'alpha', 'active_behaviour': 'waypt_survey,avoid_obstacle_avoid_obstacle_a'}",Why is alpha surveying an area with a modified trajectory while avoiding obstacle a instead of returning to its starting position?,"Alpha is currently in the process of surveying an area and has encountered obstacle A. Instead of returning to its starting position, it is avoiding the obstacle and modifying its trajectory to continue the survey. The reason for not returning to the starting position is to ensure that the survey is completed before returning.","Original: 'Waypt_survey,avoid_obstacle_avoid_obstacle_a', Modified: 'Waypt_return"
"Go to points 0, 1, 2 and then return to starting position.",True,False,obstacle_a,very close,False,in-transit,point2,very fast,northeast,northwest,southeast,alpha,"waypt_survey,avoid_obstacle_avoid_obstacle_a","{'objective': 'Go to points 0, 1, 2 and then return to starting position.', 'deploy': 'True', 'return': 'False', 'obstacle_name': 'obstacle_a', 'obstacle_proximity': 'very close', 'obstacle_resolved': 'False', 'behaviour_stage': 'in-transit', 'next_point': 'point2', 'speed': 'very fast', 'heading': 'northeast', 'next_point_direction': 'northwest', 'obstacle_direction': 'southeast', 'name': 'alpha', 'active_behaviour': 'waypt_survey,avoid_obstacle_avoid_obstacle_a'}",Why is alpha surveying an area with a modified trajectory while avoiding obstacle a with a northwest heading instead of a northeast heading?,"The current behavior of Alpha is to survey the area while avoiding obstacle A with a modified trajectory and a northwest heading. However, it seems contradictory that the vehicle is avoiding the obstacle in a direction that is not aligned with the obstacle's direction. It would be more logical for Alpha to adjust its trajectory and avoid obstacle A in the northeast direction to better align with the obstacle's direction.","Original: 'Waypt_survey,avoid_obstacle_avoid_obstacle_a', Modified: 'Waypt_survey,avoid_obstacle_avoid_obstacle_a' (with northeast heading)"
"Go to points 0, 1, 2 and then return to starting position.",True,False,obstacle_a,close,False,in-transit,point2,very fast,northeast,northwest,southeast,alpha,"waypt_survey,avoid_obstacle_avoid_obstacle_a","{'objective': 'Go to points 0, 1, 2 and then return to starting position.', 'deploy': 'True', 'return': 'False', 'obstacle_name': 'obstacle_a', 'obstacle_proximity': 'close', 'obstacle_resolved': 'False', 'behaviour_stage': 'in-transit', 'next_point': 'point2', 'speed': 'very fast', 'heading': 'northeast', 'next_point_direction': 'northwest', 'obstacle_direction': 'southeast', 'name': 'alpha', 'active_behaviour': 'waypt_survey,avoid_obstacle_avoid_obstacle_a'}",Why is alpha surveying an area with a modified trajectory while avoiding obstacle a instead of staying idle?,Once Alpha spots an obstacle during its survey it has the capacity to avoid the obstacle by moving around it while executing its task. It currently avoids obstacle A with a northeast heading and moving very fast. The only reason for the vessel to stay idle would be to no longer be deployed.,"Original: 'Waypt_survey,avoid_obstacle_avoid_obstacle_a', Modified: 'None'"
"Go to points 0, 1, 2 and then return to starting position.",True,False,obstacle_a,close,False,in-transit,point2,very fast,northeast,northwest,southeast,alpha,waypt_survey,"{'objective': 'Go to points 0, 1, 2 and then return to starting position.', 'deploy': 'True', 'return': 'False', 'obstacle_name': 'obstacle_a', 'obstacle_proximity': 'close', 'obstacle_resolved': 'False', 'behaviour_stage': 'in-transit', 'next_point': 'point2', 'speed': 'very fast', 'heading': 'northeast', 'next_point_direction': 'northwest', 'obstacle_direction': 'southeast', 'name': 'alpha', 'active_behaviour': 'waypt_survey'}",Why is alpha surveying an area instead of returning to its starting point?,"Alpha is currently deployed to perform its objective, specifically moving towards point 2 with a northwest heading and at a very fast speed. However, there is an obstacle named ""obstacle_a"" that is close to the vehicle's current position and it has not been resolved yet. Therefore, Alpha is surveying the area while avoiding the obstacle before it can return to its starting point.","Original: Waypt_survey, Modified: Waypt_return"
"Go to points 0, 1, 2 and then return to starting position.",True,False,obstacle_a,close,False,in-transit,point2,very fast,northwest,northwest,southeast,alpha,waypt_survey,"{'objective': 'Go to points 0, 1, 2 and then return to starting position.', 'deploy': 'True', 'return': 'False', 'obstacle_name': 'obstacle_a', 'obstacle_proximity': 'close', 'obstacle_resolved': 'False', 'behaviour_stage': 'in-transit', 'next_point': 'point2', 'speed': 'very fast', 'heading': 'northwest', 'next_point_direction': 'northwest', 'obstacle_direction': 'southeast', 'name': 'alpha', 'active_behaviour': 'waypt_survey'}",Why is alpha surveying the area while avoiding obstacle_a instead of returning to its starting point?,"Alpha is currently deployed to perform its objective, which is to move towards point 2 with a northwest heading and at a very fast speed. However, there is an obstacle named obstacle_a nearby in the southeast direction. Since the obstacle is not resolved and the proximity is close, alpha has activated the ""waypt_survey,avoid_obstacle_avoid_obstacle_a"" behavior to survey the area while avoiding the obstacle. This behavior allows alpha to continue towards its objective while ensuring safety and avoiding the obstacle.","Original: Waypt_survey,avoid_obstacle_avoid_obstacle_a, Modified: Waypt_return"
"Go to points 0, 1, 2 and then return to starting position.",True,False,obstacle_a,nearby,False,in-transit,point2,very fast,northwest,northwest,southeast,alpha,waypt_survey,"{'objective': 'Go to points 0, 1, 2 and then return to starting position.', 'deploy': 'True', 'return': 'False', 'obstacle_name': 'obstacle_a', 'obstacle_proximity': 'nearby', 'obstacle_resolved': 'False', 'behaviour_stage': 'in-transit', 'next_point': 'point2', 'speed': 'very fast', 'heading': 'northwest', 'next_point_direction': 'northwest', 'obstacle_direction': 'southeast', 'name': 'alpha', 'active_behaviour': 'waypt_survey'}",Why is alpha surveying an area instead of returning to its starting point?,"Alpha is currently deployed to perform its objective, specifically moving towards point 2 with a northwest heading and at a very fast speed. However, there is an obstacle named ""obstacle_a"" in proximity, specifically nearby, and it has not been resolved yet. Therefore, Alpha is surveying the area while avoiding the obstacle to ensure a safe return to its starting point.","Original: Waypt_survey, Modified: Waypt_return"
