representation,user_query,explanation,permutation
"{'objective': 'Go to points 0, 1, 2, 3, 4 and then return to starting position.', 'deploy': 'True', 'return': 'False', 'obstacle_name': 'none', 'obstacle_proximity': 'none', 'obstacle_resolved': 'False', 'behaviour_stage': 'in-transit', 'next_point': 'point2', 'speed': 'max speed', 'heading': 'east', 'next_point_direction': 'southeast', 'obstacle_direction': 'none', 'name': 'alpha', 'active_behaviour': 'waypt_survey'}",Why is alpha surveying an area instead of returning to its starting point?,"Alpha is currently deployed to perform its objective, specifically moving towards point 2 with a southeast heading and at the maximum speed. To return to its starting point, it should first finish its objective or receive a command from C2.","Original= Waypt_survey, Modified= Waypt_return"
"{'objective': 'Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.', 'deploy': 'True', 'return': 'False', 'station_keep': 'False', 'next_loiter_point': 'point5', 'obstacle_name': 'none', 'obstacle_proximity': 'none', 'contact_range': 'far', 'contact_resolved': 'FALSE', 'collision_avoidance_mode': 'none', 'speed': 'fast', 'heading': 'southeast', 'loiter_point_direction': 'northeast', 'new_loiter_area': 'False', 'obstacle_direction': 'none', 'name': 'gilda', 'active_behaviour': 'loiter'}","Why not Waypt_return,avd_obstacles_avd_obstacles_ob_3 instead of Loiter?","Gilda is still loitering fast towards point 5 with a northeast heading, and has not been asked to return to its starting point yet. Additionally, there is no detected obstacle in the vessels environment and the contact range with other vessels is far.","Original= Loiter, Modified= Waypt_return,avd_obstacles_avd_obstacles_ob_3"
"{'objectives': 'Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point', 'deploy': 'True', 'return': 'False', 'next_waypoint': 'none', 'behaviour_stage': 'none', 'next_loiter_point': 'point6', 'gps_update_received': 'False', 'depth': 'shallow', 'vehicle_at_surface': 'True', 'periodic_ascend': 'False', 'waypoint_direction': 'none', 'loiter_point_direction': 'northwest', 'speed': 'moderate', 'heading': 'northwest', 'name': 'henry', 'active_behaviour': 'maxdepth,loiter,bhv_const_depth'}","Why not None instead of Maxdepth,loiter,bhv_const_depth?","In this scenario, Henry is already at the surface and loitering towards point 6. There is no need for Henry to maintain a constant depth and continue with the current behavior. It would be more efficient for Henry to stop all behaviors and stay idle.","Original= Maxdepth,loiter,bhv_const_depth, Modified= None"
"{'objective': 'Go to points 0, 1, 2, 3, 4 and then return to starting position.', 'deploy': 'True', 'return': 'False', 'obstacle_name': 'none', 'obstacle_proximity': 'none', 'obstacle_resolved': 'False', 'behaviour_stage': 'in-transit', 'next_point': 'point0', 'speed': 'very fast', 'heading': 'southeast', 'next_point_direction': 'southeast', 'obstacle_direction': 'none', 'name': 'alpha', 'active_behaviour': 'waypt_survey'}",Why is alpha surveying an area instead of returning to its starting point?,"Alpha is currently deployed to perform its objective, specifically moving towards point 0 with a southeast heading and at a very fast speed. To return to its starting point, it should first finish its objective or receive a command from C2.","Original= Waypt_survey, Modified= Waypt_return"
"{'objectives': 'Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point', 'deploy': 'True', 'return': 'False', 'next_waypoint': 'point7', 'behaviour_stage': 'advanced', 'next_loiter_point': 'none', 'gps_update_received': 'False', 'depth': 'very deep', 'vehicle_at_surface': 'False', 'periodic_ascend': 'True', 'waypoint_direction': 'northeast', 'loiter_point_direction': 'none', 'speed': 'very fast', 'heading': 'northeast', 'name': 'henry', 'active_behaviour': 'maxdepth,bhv_const_depth,waypt_survey'}","Why not Maxdepth,loiter,bhv_const_depth instead of Maxdepth,bhv_const_depth,waypt_survey?","In the current representation, the next waypoint is set to point7, indicating that the vehicle should continue moving towards that waypoint. However, in order to perform the loiter behavior, the vehicle should have a designated loiter point. Additionally, periodic ascend should be deactivated during loitering to avoid unnecessary surfacing for coordinate updates.","Original= Maxdepth,bhv_const_depth,waypt_survey, Modified= Maxdepth,loiter,bhv_const_depth"
"{'objective': 'Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.', 'deploy': 'True', 'return': 'False', 'station_keep': 'False', 'next_loiter_point': 'point4', 'obstacle_name': 'obstacle_3', 'obstacle_proximity': 'far', 'contact_range': 'nearby', 'contact_resolved': 'FALSE', 'collision_avoidance_mode': 'none', 'speed': 'fast', 'heading': 'northeast', 'loiter_point_direction': 'northeast', 'new_loiter_area': 'False', 'obstacle_direction': 'southeast', 'name': 'gilda', 'active_behaviour': 'loiter,avd_obstacles_avd_obstacles_ob_3'}","Why not Loiter instead of Loiter,avd_obstacles_avd_obstacles_ob_3?","Gilda cannot just loiter in this situation because there is an obstacle in the southeast direction. To avoid a collision with the obstacle, Gilda needs to continue with the behavior of loitering while avoiding obstacles.","Original= Loiter,avd_obstacles_avd_obstacles_ob_3, Modified= Loiter"
"{'objective': 'Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.', 'deploy': 'True', 'return': 'False', 'station_keep': 'True', 'next_loiter_point': 'none', 'obstacle_name': 'obstacle_2', 'obstacle_proximity': 'very far', 'contact_range': 'very far', 'contact_resolved': 'FALSE', 'collision_avoidance_mode': 'none', 'speed': 'low', 'heading': 'southeast', 'loiter_point_direction': 'none', 'new_loiter_area': 'False', 'obstacle_direction': 'southwest', 'name': 'gilda', 'active_behaviour': 'station-keep'}",Why not Loiter instead of station-keep?,"Currently, Gilda is programmed to stay in place and maintain its position until further notice. However, if Gilda were to loiter instead of station-keep, it would move around in random areas while avoiding obstacles and other vessels. This would add an element of exploration and movement to Gildas behavior.","Original= Station-keep
Modified= Loiter"
"{'objective': 'Go to points 0, 1, 2, 3, 4 and then return to starting position.', 'deploy': 'True', 'return': 'True', 'obstacle_name': 'obstacle_a', 'obstacle_proximity': 'nearby', 'obstacle_resolved': 'False', 'behaviour_stage': 'completed', 'next_point': 'none', 'speed': 'very fast', 'heading': 'northwest', 'next_point_direction': 'none', 'obstacle_direction': 'southeast', 'name': 'alpha', 'active_behaviour': 'none'}",Why is Alpha not surveying an area while avoiding an obstacle instead of returning to its starting position?,"Alpha is currently set to return to its starting position after completing its objective. The obstacle obstacle_a is nearby and has not been resolved, so it would be more efficient for Alpha to survey the area while avoiding the obstacle instead of returning directly.","Original= Waypt_return, Modified= Waypt_survey,avoid_obstacle_avoid_obstacle_a"
"{'objective': 'Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.', 'deploy': 'True', 'return': 'False', 'station_keep': 'False', 'next_loiter_point': 'point7', 'obstacle_name': 'obstacle_0', 'obstacle_proximity': 'very far', 'contact_range': 'close', 'contact_resolved': 'FALSE', 'collision_avoidance_mode': 'none', 'speed': 'fast', 'heading': 'northwest', 'loiter_point_direction': 'northwest', 'new_loiter_area': 'False', 'obstacle_direction': 'northwest', 'name': 'gilda', 'active_behaviour': 'loiter'}","Why not Loiter,avd_obstacles_avd_obstacles_ob_0,avdcol_henry instead of Loiter?","Currently, Gilda is only loitering around point 7 with a northwest heading, while avoiding obstacles and collision with other vessels. However, the agent could exhibit a different behavior by performing both avoiding obstacles and collision with other vessels, represented as Loiter,avd_obstacles_avd_obstacles_ob_0,avdcol_henry.","Original= Loiter, Modified= Loiter,avd_obstacles_avd_obstacles_ob_0,avdcol_henry"
"{'objective': 'Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.', 'deploy': 'True', 'return': 'True', 'station_keep': 'False', 'next_loiter_point': 'none', 'obstacle_name': 'obstacle_0', 'obstacle_proximity': 'very far', 'contact_range': 'nearby', 'contact_resolved': 'FALSE', 'collision_avoidance_mode': 'none', 'speed': 'fast', 'heading': 'southeast', 'loiter_point_direction': 'none', 'new_loiter_area': 'False', 'obstacle_direction': 'northeast', 'name': 'gilda', 'active_behaviour': 'waypt_return'}","Why not Waypt_return,avd_obstacles_avd_obstacles_ob_0 instead of waypt_return?","If Gilda were to use the behavior Waypt_return,avd_obstacles_avd_obstacles_ob_0, it would modify its trajectory to avoid obstacle 0, which it is currently in close proximity to. This behavior would ensure that Gilda returns to its starting point while avoiding the obstacle.","Original= waypt_return
Modified= Waypt_return,avd_obstacles_avd_obstacles_ob_0"
"{'objective': 'Go to points 0, 1, 2, 3, 4, 5 and then return to starting position.', 'deploy': 'True', 'return': 'False', 'obstacle_name': 'none', 'obstacle_proximity': 'none', 'obstacle_resolved': 'True', 'behaviour_stage': 'in-transit', 'next_point': 'point4', 'speed': 'max speed', 'heading': 'northeast', 'next_point_direction': 'northeast', 'obstacle_direction': 'none', 'name': 'alpha', 'active_behaviour': 'waypt_survey'}",Why is alpha surveying an area instead of returning to its starting point?,"Alpha is currently deployed to perform its objective, specifically moving towards point 5 with a northeast heading and at maximum speed. However, the obstacle has been resolved and there is no obstacle present. Therefore, alpha should not continue surveying the area and should instead return to its starting point.","Original= Waypt_survey, Modified= Waypt_return"
"{'objective': 'Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.', 'deploy': 'True', 'return': 'False', 'station_keep': 'False', 'next_loiter_point': 'point7', 'obstacle_name': 'obstacle_0', 'obstacle_proximity': 'close', 'contact_range': 'far', 'contact_resolved': 'FALSE', 'collision_avoidance_mode': 'none', 'speed': 'fast', 'heading': 'northwest', 'loiter_point_direction': 'northwest', 'new_loiter_area': 'False', 'obstacle_direction': 'southwest', 'name': 'gilda', 'active_behaviour': 'loiter,avd_obstacles_avd_obstacles_ob_0'}","Why not Loiter instead of Loiter,avd_obstacles_avd_obstacles_ob_0?","To just loiter without any obstacle avoidance, Gilda would need to have more distance from obstacle 0 or no spotted obstacles at all.","Original= Loiter,avd_obstacles_avd_obstacles_ob_0
Modified= Loiter"
"{'objective': 'Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.', 'deploy': 'True', 'return': 'False', 'station_keep': 'False', 'next_loiter_point': 'point7', 'obstacle_name': 'none', 'obstacle_proximity': 'none', 'contact_range': 'far', 'contact_resolved': 'FALSE', 'collision_avoidance_mode': 'none', 'speed': 'fast', 'heading': 'southeast', 'loiter_point_direction': 'southwest', 'new_loiter_area': 'False', 'obstacle_direction': 'none', 'name': 'gilda', 'active_behaviour': 'loiter'}","Why not Waypt_return,avd_obstacles_avd_obstacles_ob_0 instead of Loiter?","Gilda is still loitering fast towards point 7 with a southwest loiter point direction, and has not been asked to return to its starting point yet. Additionally, there is no detected obstacle in the vessels environment and the contact range is far, indicating that there are no other vessels in close proximity.","Original= Loiter, Modified= Waypt_return,avd_obstacles_avd_obstacles_ob_0"
"{'objective': 'Go to points 0, 1, 2, 3, 4 and then return to starting position.', 'deploy': 'True', 'return': 'False', 'obstacle_name': 'none', 'obstacle_proximity': 'none', 'obstacle_resolved': 'False', 'behaviour_stage': 'in-transit', 'next_point': 'point4', 'speed': 'max speed', 'heading': 'northeast', 'next_point_direction': 'northwest', 'obstacle_direction': 'none', 'name': 'alpha', 'active_behaviour': 'waypt_survey'}",Why is alpha surveying an area instead of returning to its starting point?,"Alpha is currently deployed to perform its objective, specifically moving towards point 4 with a northeast heading and at the maximum speed. To return to its starting point, it should first finish its objective or receive a command from C2.","Original= Waypt_survey, Modified= Waypt_return"
"{'objectives': 'Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point', 'deploy': 'True', 'return': 'False', 'next_waypoint': 'none', 'behaviour_stage': 'none', 'next_loiter_point': 'point7', 'gps_update_received': 'False', 'depth': 'very deep', 'vehicle_at_surface': 'False', 'periodic_ascend': 'True', 'waypoint_direction': 'none', 'loiter_point_direction': 'northeast', 'speed': 'moderate', 'heading': 'northeast', 'name': 'henry', 'active_behaviour': 'maxdepth,loiter,bhv_periodic_surface,bhv_const_depth'}","Why not Maxdepth,loiter,bhv_const_depth instead of Maxdepth,loiter,bhv_periodic_surface,bhv_const_depth?","The vehicle currently has an activated periodic ascent, which indicates a required GPS coordinate fix. If it was deactivated, then the vehicle would normally loiter while maintaining its depth and waiting for a survey request.","Original= Maxdepth,loiter,bhv_periodic_surface,bhv_const_depth, Modified= Maxdepth,loiter,bhv_const_depth"
"{'objective': 'Go to points 0, 1, 2, 3, 4 and then return to starting position.', 'deploy': 'True', 'return': 'False', 'obstacle_name': 'obstacle_e', 'obstacle_proximity': 'close', 'obstacle_resolved': 'False', 'behaviour_stage': 'in-transit', 'next_point': 'point1', 'speed': 'very fast', 'heading': 'southwest', 'next_point_direction': 'southwest', 'obstacle_direction': 'northwest', 'name': 'alpha', 'active_behaviour': 'waypt_survey'}",Why is alpha surveying an area instead of returning to its starting point?,"Alpha is currently deployed to perform its objective, which is to go to points 0, 1, 2, 3, and 4 before returning to its starting position. However, it encountered an obstacle named obstacle_e that is in close proximity to it. Since the obstacle has not been resolved yet, alpha is in the process of surveying the area while avoiding the obstacle.","Original= Waypt_survey, Modified= Waypt_return"
"{'objective': 'Go to points 0, 1, 2, 3, 4, 5 and then return to starting position.', 'deploy': 'True', 'return': 'True', 'obstacle_name': 'obstacle_a', 'obstacle_proximity': 'far', 'obstacle_resolved': 'False', 'behaviour_stage': 'in-transit', 'next_point': 'pointstart', 'speed': 'very fast', 'heading': 'northwest', 'next_point_direction': 'northwest', 'obstacle_direction': 'southeast', 'name': 'alpha', 'active_behaviour': 'waypt_return'}",Why is alpha returning to its starting point instead of surveying?,"Alpha is currently in the waypt_return behavior, which means it is returning to its starting point after completing a survey. However, if Alpha encounters an obstacle that is not resolved and is in close proximity, it should switch to the waypt_survey,avoid_obstacle_avoid_obstacle_a behavior and continue surveying the area while avoiding the obstacle.","Original= Waypt_return, Modified= Waypt_survey,avoid_obstacle_avoid_obstacle_a"
