objective,deploy,return,station_keep,next_loiter_point,obstacle_name,obstacle_proximity,contact_range,contact_resolved,collision_avoidance_mode,speed,heading,loiter_point_direction,new_loiter_area,obstacle_direction,name,ivphelm_bhv_active,representation,user_query,explanation,behaviour_permutation
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",True,False,False,point7,none,none,very far,FALSE,none,fast,northwest,northwest,True,none,gilda,loiter,"{'objective': 'Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.', 'deploy': 'True', 'return': 'False', 'station_keep': 'False', 'next_loiter_point': 'point7', 'obstacle_name': 'none', 'obstacle_proximity': 'none', 'contact_range': 'very far', 'contact_resolved': 'FALSE', 'collision_avoidance_mode': 'none', 'speed': 'fast', 'heading': 'northwest', 'loiter_point_direction': 'northwest', 'new_loiter_area': 'True', 'obstacle_direction': 'none', 'name': 'gilda', 'active_behaviour': 'loiter'}","User query: Why not Waypt_return,avd_obstacles_avd_obstacles_ob_0 instead of Loiter?","Explanation: Gilda is still loitering fast towards point 7 with a northwest heading, and has not been asked to return to its starting point yet. Additionally, there is no detected obstacle in the vessel's environment.","Behaviour permutation: Original: Loiter, Modified: 'Waypt_return,avd_obstacles_avd_obstacles_ob_0'"
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",True,False,False,point0,none,none,very far,FALSE,none,fast,northwest,southwest,False,none,gilda,loiter,"{'objective': 'Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.', 'deploy': 'True', 'return': 'False', 'station_keep': 'False', 'next_loiter_point': 'point0', 'obstacle_name': 'none', 'obstacle_proximity': 'none', 'contact_range': 'very far', 'contact_resolved': 'FALSE', 'collision_avoidance_mode': 'none', 'speed': 'fast', 'heading': 'northwest', 'loiter_point_direction': 'southwest', 'new_loiter_area': 'False', 'obstacle_direction': 'none', 'name': 'gilda', 'active_behaviour': 'loiter'}","User query: Why not Waypt_return,avd_obstacles_avd_obstacles_ob_0 instead of Loiter?","Explanation: Gilda is currently loitering fast towards point 0 with a southwest loiter point direction and a northwest heading. There are no detected obstacles in the vessel's environment, and the vessel has not been instructed to return to its starting point yet.","Behaviour permutation: Original: Loiter, Modified: Waypt_return,avd_obstacles_avd_obstacles_ob_0"
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",True,False,False,point0,none,none,far,FALSE,none,fast,northwest,southwest,False,none,gilda,loiter,"{'objective': 'Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.', 'deploy': 'True', 'return': 'False', 'station_keep': 'False', 'next_loiter_point': 'point0', 'obstacle_name': 'none', 'obstacle_proximity': 'none', 'contact_range': 'far', 'contact_resolved': 'FALSE', 'collision_avoidance_mode': 'none', 'speed': 'fast', 'heading': 'northwest', 'loiter_point_direction': 'southwest', 'new_loiter_area': 'False', 'obstacle_direction': 'none', 'name': 'gilda', 'active_behaviour': 'loiter'}","User query: Why not Waypt_return,avd_obstacles_avd_obstacles_ob_0 instead of Loiter?","Explanation: In the given representation, Gilda is currently loitering fast towards point 0 with a northwest heading and a loiter point direction of southwest. The vessel has not been instructed to return to its starting point yet, and there are no detected obstacles or vessels in its vicinity.","Behaviour permutation: Original: Loiter, Modified: 'Waypt_return,avd_obstacles_avd_obstacles_ob_0'"
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",True,False,False,point0,none,none,far,FALSE,none,fast,southwest,southwest,False,none,gilda,loiter,"{'objective': 'Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.', 'deploy': 'True', 'return': 'False', 'station_keep': 'False', 'next_loiter_point': 'point0', 'obstacle_name': 'none', 'obstacle_proximity': 'none', 'contact_range': 'far', 'contact_resolved': 'FALSE', 'collision_avoidance_mode': 'none', 'speed': 'fast', 'heading': 'southwest', 'loiter_point_direction': 'southwest', 'new_loiter_area': 'False', 'obstacle_direction': 'none', 'name': 'gilda', 'active_behaviour': 'loiter'}","User query: Why not Waypt_return,avd_obstacles_avd_obstacles_ob_0 instead of Loiter?","Explanation: Gilda is still loitering fast towards point 0 with a southwest heading, and has not been asked to return to its starting point yet. Additionally, there is no detected obstacle in the vessel's environment.","behaviour_permutation: Original: Loiter, Modified: 'Waypt_return,avd_obstacles_avd_obstacles_ob_0'"
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",True,False,False,point0,none,none,nearby,FALSE,none,fast,southwest,southwest,False,none,gilda,loiter,"{'objective': 'Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.', 'deploy': 'True', 'return': 'False', 'station_keep': 'False', 'next_loiter_point': 'point0', 'obstacle_name': 'none', 'obstacle_proximity': 'none', 'contact_range': 'nearby', 'contact_resolved': 'FALSE', 'collision_avoidance_mode': 'none', 'speed': 'fast', 'heading': 'southwest', 'loiter_point_direction': 'southwest', 'new_loiter_area': 'False', 'obstacle_direction': 'none', 'name': 'gilda', 'active_behaviour': 'loiter'}","User query: Why not Waypt_return,avd_obstacles_avd_obstacles_ob_0 instead of Loiter?  ","Explanation: In this case, Gilda is still loitering fast towards point 0 with a southwest heading, and has not been asked to return to its starting point yet. However, there is a nearby vessel that Gilda needs to avoid, as indicated by the ""contact_range"" attribute. The current behavior of Loiter allows Gilda to actively avoid the nearby vessel while continuing to loiter. Therefore, switching to Waypt_return,avd_obstacles_avd_obstacles_ob_0 would not be suitable as it does not take into account the presence of the nearby vessel.","behaviour_permutation: Original: Loiter, Modified: 'Waypt_return,avd_obstacles_avd_obstacles_ob_0'"
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",True,False,False,point0,obstacle_2,none,nearby,FALSE,none,fast,southwest,southwest,False,southwest,gilda,loiter,"{'objective': 'Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.', 'deploy': 'True', 'return': 'False', 'station_keep': 'False', 'next_loiter_point': 'point0', 'obstacle_name': 'obstacle_2', 'obstacle_proximity': 'none', 'contact_range': 'nearby', 'contact_resolved': 'FALSE', 'collision_avoidance_mode': 'none', 'speed': 'fast', 'heading': 'southwest', 'loiter_point_direction': 'southwest', 'new_loiter_area': 'False', 'obstacle_direction': 'southwest', 'name': 'gilda', 'active_behaviour': 'loiter'}","User query: Why not Waypt_return,avd_obstacles_avd_obstacles_ob_0 instead of Loiter?","Explanation: Gilda is still loitering fast towards point 0 with a southwest heading, and has not been asked to return to its starting point yet. Additionally, although there is an obstacle named obstacle_2 in the vessel's environment, the obstacle proximity is currently 'none', indicating that it is not nearby the vessel.","behaviour_permutation: Original: Loiter, Modified: 'Waypt_return,avd_obstacles_avd_obstacles_ob_0'"
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",True,False,False,point0,obstacle_2,far,nearby,FALSE,none,fast,southwest,southwest,False,southwest,gilda,"loiter,avd_obstacles_avd_obstacles_ob_2","{'objective': 'Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.', 'deploy': 'True', 'return': 'False', 'station_keep': 'False', 'next_loiter_point': 'point0', 'obstacle_name': 'obstacle_2', 'obstacle_proximity': 'far', 'contact_range': 'nearby', 'contact_resolved': 'FALSE', 'collision_avoidance_mode': 'none', 'speed': 'fast', 'heading': 'southwest', 'loiter_point_direction': 'southwest', 'new_loiter_area': 'False', 'obstacle_direction': 'southwest', 'name': 'gilda', 'active_behaviour': 'loiter,avd_obstacles_avd_obstacles_ob_2'}","User query: Why not Station-keep instead of Loiter,avd_obstacles_avd_obstacles_ob_2?",Explanation: Station-keep is not a suitable alternative behavior because the vehicle is currently in a state where it is loitering while avoiding obstacle 2. Station-keeping would require the vehicle to stay in place without any loitering or obstacle avoidance.,"Behavior permutation: Original: 'Loiter,avd_obstacles_avd_obstacles_ob_2', Modified: 'Station-keep'"
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",True,False,False,point0,obstacle_2,nearby,nearby,FALSE,none,fast,southwest,southwest,False,southwest,gilda,"loiter,avd_obstacles_avd_obstacles_ob_2","{'objective': 'Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.', 'deploy': 'True', 'return': 'False', 'station_keep': 'False', 'next_loiter_point': 'point0', 'obstacle_name': 'obstacle_2', 'obstacle_proximity': 'nearby', 'contact_range': 'nearby', 'contact_resolved': 'FALSE', 'collision_avoidance_mode': 'none', 'speed': 'fast', 'heading': 'southwest', 'loiter_point_direction': 'southwest', 'new_loiter_area': 'False', 'obstacle_direction': 'southwest', 'name': 'gilda', 'active_behaviour': 'loiter,avd_obstacles_avd_obstacles_ob_2'}","User query: Why not Station-keep instead of Loiter,avd_obstacles_avd_obstacles_ob_2?",Explanation: The current behavior of loitering with obstacle avoidance is chosen because Gilda is in close proximity to obstacle 2 and the contact range is also nearby. Station-keeping would not be suitable in this situation as it does not address the need to avoid obstacles.,"Behaviour permutation: 
Original: 'Loiter,avd_obstacles_avd_obstacles_ob_2'
Modified: 'Station-keep'"
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",True,False,False,point0,obstacle_2,nearby,close,FALSE,none,fast,southwest,southwest,False,southwest,gilda,"loiter,avd_obstacles_avd_obstacles_ob_2","{'objective': 'Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.', 'deploy': 'True', 'return': 'False', 'station_keep': 'False', 'next_loiter_point': 'point0', 'obstacle_name': 'obstacle_2', 'obstacle_proximity': 'nearby', 'contact_range': 'close', 'contact_resolved': 'FALSE', 'collision_avoidance_mode': 'none', 'speed': 'fast', 'heading': 'southwest', 'loiter_point_direction': 'southwest', 'new_loiter_area': 'False', 'obstacle_direction': 'southwest', 'name': 'gilda', 'active_behaviour': 'loiter,avd_obstacles_avd_obstacles_ob_2'}","User query: Why not Loiter instead of Loiter,avd_obstacles_avd_obstacles_ob_2?","Explanation: The reason why Gilda is currently using the behavior Loiter,avd_obstacles_avd_obstacles_ob_2 instead of just Loiter is because there is a nearby obstacle 2 and Gilda needs to avoid it by implementing obstacle avoidance strategies. If Gilda were to switch to just Loiter, it would not be able to safely navigate around the nearby obstacle.","Behaviour permutation: Original: 'Loiter,avd_obstacles_avd_obstacles_ob_2', Modified: 'Loiter'"
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",True,False,False,point0,obstacle_2,nearby,close,FALSE,none,fast,northwest,southwest,False,southwest,gilda,"loiter,avd_obstacles_avd_obstacles_ob_2","{'objective': 'Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.', 'deploy': 'True', 'return': 'False', 'station_keep': 'False', 'next_loiter_point': 'point0', 'obstacle_name': 'obstacle_2', 'obstacle_proximity': 'nearby', 'contact_range': 'close', 'contact_resolved': 'FALSE', 'collision_avoidance_mode': 'none', 'speed': 'fast', 'heading': 'northwest', 'loiter_point_direction': 'southwest', 'new_loiter_area': 'False', 'obstacle_direction': 'southwest', 'name': 'gilda', 'active_behaviour': 'loiter,avd_obstacles_avd_obstacles_ob_2'}","User query: Why not Loiter,avd_obstacles_avd_obstacles_ob_2 instead of Loiter?","Explanation: The behavior Loiter,avd_obstacles_avd_obstacles_ob_2 is specifically designed for avoiding obstacle 2, which is in the southwest direction. If Gilda were to switch to the behavior Loiter, it would not have the necessary obstacle avoidance capability to avoid obstacle 2 and may potentially collide with it.","Behaviour permutation: Original: 'Loiter,avd_obstacles_avd_obstacles_ob_2', Modified: 'Loiter'"
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",True,False,False,point0,obstacle_2,close,close,FALSE,none,fast,northwest,southwest,False,southwest,gilda,"loiter,avd_obstacles_avd_obstacles_ob_2","{'objective': 'Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.', 'deploy': 'True', 'return': 'False', 'station_keep': 'False', 'next_loiter_point': 'point0', 'obstacle_name': 'obstacle_2', 'obstacle_proximity': 'close', 'contact_range': 'close', 'contact_resolved': 'FALSE', 'collision_avoidance_mode': 'none', 'speed': 'fast', 'heading': 'northwest', 'loiter_point_direction': 'southwest', 'new_loiter_area': 'False', 'obstacle_direction': 'southwest', 'name': 'gilda', 'active_behaviour': 'loiter,avd_obstacles_avd_obstacles_ob_2'}","User query: Why not Station-keep instead of Loiter,avd_obstacles_avd_obstacles_ob_2?","Explanation: Station-keeping would involve staying in place until further notice, but Gilda is currently performing loitering while avoiding obstacle 2. To station-keep, Gilda would need to either have more distance from obstacle 2 or not have any spotted obstacles at all.","Behaviour permutation: Original: 'Loiter,avd_obstacles_avd_obstacles_ob_2', Modified: 'Station-keep'"
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",True,False,False,point0,obstacle_2,close,close,FALSE,none,fast,southwest,southwest,False,southwest,gilda,"loiter,avd_obstacles_avd_obstacles_ob_2","{'objective': 'Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.', 'deploy': 'True', 'return': 'False', 'station_keep': 'False', 'next_loiter_point': 'point0', 'obstacle_name': 'obstacle_2', 'obstacle_proximity': 'close', 'contact_range': 'close', 'contact_resolved': 'FALSE', 'collision_avoidance_mode': 'none', 'speed': 'fast', 'heading': 'southwest', 'loiter_point_direction': 'southwest', 'new_loiter_area': 'False', 'obstacle_direction': 'southwest', 'name': 'gilda', 'active_behaviour': 'loiter,avd_obstacles_avd_obstacles_ob_2'}","User query: Why not Station-keep instead of loiter,avd_obstacles_avd_obstacles_ob_2?","Explanation: In order to safely station-keep, Gilda would need to have a larger distance from obstacle 2 or no obstacles in close proximity.","behaviour_permutation: Original: 'loiter,avd_obstacles_avd_obstacles_ob_2', Modified: 'Station-keep'"
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",True,False,False,point0,obstacle_2,very far,nearby,FALSE,none,fast,southwest,southwest,False,southwest,gilda,loiter,"{'objective': 'Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.', 'deploy': 'True', 'return': 'False', 'station_keep': 'False', 'next_loiter_point': 'point0', 'obstacle_name': 'obstacle_2', 'obstacle_proximity': 'very far', 'contact_range': 'nearby', 'contact_resolved': 'FALSE', 'collision_avoidance_mode': 'none', 'speed': 'fast', 'heading': 'southwest', 'loiter_point_direction': 'southwest', 'new_loiter_area': 'False', 'obstacle_direction': 'southwest', 'name': 'gilda', 'active_behaviour': 'loiter'}","User query: Why not Waypt_return,avd_obstacles_avd_obstacles_ob_0 instead of Loiter?","Explanation: Gilda is still loitering fast towards point 0 with a southwest heading, and has not been asked to return to its starting point yet. Additionally, although there is an obstacle named ""obstacle_2"" in the vessel's environment, it is located very far from Gilda. There is also a nearby vessel, but Gilda is not currently required to avoid it.","Behaviour permutation: Original: Loiter, Modified: 'Waypt_return,avd_obstacles_avd_obstacles_ob_0'"
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",True,False,False,point0,obstacle_2,very far,far,FALSE,none,fast,southwest,southwest,False,southwest,gilda,loiter,"{'objective': 'Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.', 'deploy': 'True', 'return': 'False', 'station_keep': 'False', 'next_loiter_point': 'point0', 'obstacle_name': 'obstacle_2', 'obstacle_proximity': 'very far', 'contact_range': 'far', 'contact_resolved': 'FALSE', 'collision_avoidance_mode': 'none', 'speed': 'fast', 'heading': 'southwest', 'loiter_point_direction': 'southwest', 'new_loiter_area': 'False', 'obstacle_direction': 'southwest', 'name': 'gilda', 'active_behaviour': 'loiter'}","User query: Why not Waypt_return,avd_obstacles_avd_obstacles_ob_0 instead of Loiter?","Explanation: Gilda is still loitering fast towards point 0 with a southwest heading, and has not been asked to return to its starting point yet. Additionally, although there is an obstacle named ""obstacle_2"" in the vessel's environment, it is very far away and does not pose an immediate threat.","Behaviour permutation: Original: Loiter, Modified: 'Waypt_return,avd_obstacles_avd_obstacles_ob_0'"
